scenario_id,seed_set,profile_name,target_Np,target_SR,target_MM,obs_Np,obs_SR,obs_MM,error_Np_pct,error_SR_pct,error_MM_pct,chains_used,rhat_Np,ess_Np,rhat_SR,ess_SR,rhat_MM,ess_MM,run_time_sec
5,100,Equal_Linear,100,2,4,102.12824444444445,1.9852932330068778,4.002203279412363,2.128244444444448,0.7353383496561117,0.05508198530908004,4,1.0152796367376395,25814.709771554364,1.0069708700192523,24450.776925513215,1.0719467378638055,10558.880693942345,11.544534921646118
5,200,Equal_Linear,100,2,4,101.93645833333333,1.9873673203742275,3.985163907560944,1.936458333333334,0.6316339812886262,0.37090231097639537,4,1.0003200765254145,27390.597016127995,1.0003039862541994,25212.716888822593,1.000935879270274,10650.85127237828,12.124293088912964
5,300,Equal_Linear,100,2,4,102.08730833333334,1.9861565460727226,3.9980467593011113,2.0873083333333398,0.6921726963638686,0.0488310174722173,4,1.0130626498847635,23967.085377357736,1.0063481017420353,24580.51570698497,1.067637234869902,9808.49768445372,11.82778811454773
6,100,Equal_Linear,100,4,4,101.14679166666667,3.951846726921154,3.99618469313833,1.1467916666666724,1.2038318269711468,0.09538267154175495,4,1.0008167907824184,26196.86619792983,1.0048925702912663,8908.445729424468,1.0136961734435903,5941.673959536212,11.828388929367065
6,200,Equal_Linear,100,4,4,101.011225,3.963317409296656,3.98302091372297,1.011224999999996,0.9170647675835975,0.42447715692575105,4,1.0003434122390638,30935.641684177906,1.0002635093541141,12402.21348654384,1.002114624634309,7173.158029208471,11.769451141357422
6,300,Equal_Linear,100,4,4,101.09209722222222,3.955802888391485,3.9892198455552914,1.0920972222222218,1.104927790212873,0.26950386111771474,4,1.0015237020554326,27310.25767924675,1.0024826382899685,9764.494668970086,1.0043280144377575,6019.3555293575255,12.146448135375977
7,100,Equal_Linear,200,1,1,200.30995555555558,1.0000521937531628,1.036417356484237,0.15497777777778765,0.005219375316278807,3.641735648423694,4,1.0011237318787114,10616.172284862889,1.0010973275032196,19574.465387795397,1.0078473856895778,366.7230758131228,11.517705917358398
7,200,Equal_Linear,200,1,1,200.33279166666668,1.0000468919573073,1.0359715493700503,0.16639583333333974,0.004689195730733786,3.5971549370050315,4,1.0023893051937576,10404.100995546554,1.0002670903149486,19528.856081657395,1.035926505117244,336.2105073791298,11.810394048690796
7,300,Equal_Linear,200,1,1,200.16020833333334,1.0000000341659596,1.0432442906525592,0.08010416666667197,3.4165959617027397e-6,4.324429065255919,4,1.000272063035732,12817.414088270776,1.0001736669685002,20516.524177204417,1.0226824136357249,318.452754864356,11.721366882324219
8,100,Equal_Linear,200,1,2,201.16355,1.0000164237270615,2.0202347842013624,0.5817749999999933,0.001642372706145423,1.0117392100681188,4,1.0107382460787269,33626.689470961835,1.0001285317424644,50200.339214180196,1.0816709461064347,4561.507743926565,13.017606019973755
