scenario_id,profile_name,target_Np,target_SR,target_MM,obs_Np,obs_SR,obs_MM,error_Np_pct,error_SR_pct,error_MM_pct,chains_used,rhat_Np,ess_Np,rhat_SR,ess_SR,rhat_MM,ess_MM,obs_Np_env,obs_SR_env,obs_MM_env,error_Np_pct_env,error_SR_pct_env,error_MM_pct_env,rhat_Np_env,ess_Np_env,rhat_SR_env,ess_SR_env,rhat_MM_env,ess_MM_env,n_seed_sets
21,Equal_Linear,800,1,4,800.8539055555556,1.0000118550569939,4.0043471694419654,0.10673819444444632,0.0011855056993859137,0.10867923604913621,12,1.001146707431162,53018.1388277021,1.000107225321358,60398.93143870347,1.006824392107627,10851.535509650166,801.0526166666667,1.0000368875884154,4.0053519106659605,0.13157708333334028,0.003688758841535744,0.1337977666490131,1.0046167461208952,45051.121867969414,1.0001454696557115,57414.861710843674,1.0086596578364035,8734.912613782273,3
22,Equal_Linear,800,2,2,800.2991944444444,1.9982690661482043,2.002820715950876,0.03739930555555304,0.08654669258978398,0.14103579754380924,12,1.0004430587359772,58578.2680390886,1.0014313818069505,35767.86176375672,1.0061629782186574,9258.45231178827,800.3187111111112,1.998237159835754,2.003123936206366,0.03983888888889453,0.08814200821229967,0.1561968103183098,1.0006159150806166,57397.035058408175,1.0023020474196818,34750.338692323414,1.0134292126066535,7969.363044067715,3
23,Equal_Linear,800,2,4,800.4742166666666,1.99875592401705,4.002476138553787,0.059277083333327596,0.06220379914749774,0.06190346384467027,12,1.0006237667686977,82289.66203550319,1.000433517936687,45190.072342825995,1.0023312606784534,14687.74815678018,800.48373611111106,1.9987076878743204,4.002891735956778,0.060467013888882086,0.06461560628397978,0.07229339891945408,1.0008719303844529,75283.08928680609,1.0007305587996254,43438.45905907336,1.004720563640004,14479.661056387024,3
24,Equal_Linear,800,4,4,800.0980333333333,3.997154182178061,4.001322469056789,0.0122541666666649,0.07114544554847058,0.03306172641972527,12,1.0002362435989371,79748.66043863326,1.001003696629221,21808.008578226443,1.0027782982218274,9305.320693337886,800.117725,3.9967082056973315,4.0018122786748735,0.014715624999993793,0.08229485756671151,0.04530696687183866,1.0004022588071781,75668.0729146398,1.002259123622241,19927.177361551585,1.0028868043895725,8695.581631256764,3
25,Equal_Linear,1600,1,1,1599.9521027777778,1.0000036089760325,1.0050048245702228,0.0029935763888886413,3.6089760324653497e-4,0.5004824570222777,12,1.0010306938098723,10019.06222122959,1.0006583376842444,19757.206344254453,1.1305218819475522,290.8971871949623,1600.0957694444444,0.9999811546685913,1.0064394475910516,0.005985590277774122,0.0018845331408723354,0.6439447591051639,1.0017381817805873,8738.70412723382,1.0014277982682604,19734.38498067122,1.1717680689194692,181.23561453067325,3
26,Equal_Linear,1600,1,2,1600.5471305555557,1.0000143245304065,2.0009946878218257,0.034195659722229266,0.0014324530406506497,0.04973439109128286,12,1.0028375071388202,54280.533771814975,1.000260812917646,55239.96796679202,1.0182059570287736,11859.783749970426,1602.0533805555556,1.0000187859902474,2.0015010741054162,0.12833628472222358,0.0018785990247405238,0.07505370527081112,1.2976596950284127,36042.14528927215,1.0004587784810592,54961.70297018353,1.0203025647419874,8131.262197404045,3
27,Equal_Linear,1600,1,4,1600.9333444444446,1.000006132150233,4.001921749881587,0.058334027777789295,6.132150232929234e-4,0.04804374703968328,12,1.017677022703435,43228.609418449276,1.000116136617293,57795.35264380497,1.0145172410202226,10268.330260535055,1607.466588888889,0.9999885097635073,4.001998397471093,0.46666180555556025,0.0011490236492717187,0.0499599367773218,1.322621661837914,28573.003092368515,1.0002872736158042,56047.37085111196,1.014915226237432,9571.931495268185,3
28,Equal_Linear,1600,2,2,1600.29225,1.9990658403341566,2.00177154398029,0.018265624999997954,0.046707983292171296,0.08857719901449457,12,1.001453808380465,56948.14246981633,1.0067534648530279,31352.36985462521,1.03601538906972,9382.628919010991,1600.307163888889,1.9989683170402053,2.002496444917866,0.01919774305555677,0.051584147989736095,0.12482224589329682,1.0076098856948628,52728.03216607099,1.0431644115649104,30639.23729179888,1.3625312931327545,8078.199192764533,3
29,Equal_Linear,1600,2,4,1600.2954527777777,1.9994446501456444,4.0006183798255845,0.018465798611103423,0.027767492717778453,0.015459495639613685,12,1.0008749898612728,84539.18206704676,1.0006642336618317,43572.350977209375,1.002407845933546,16647.74322622201,1600.305247222222,1.999405350779894,4.0007732722100675,0.01907795138887991,0.029732461005305133,0.01933180525168776,1.0008987511404157,84473.05655243261,1.0015412706134958,42256.17084773021,1.0024346128958976,16144.272993629365,3
30,Equal_Linear,1600,4,4,1599.9666222222222,3.9988602050390645,3.999897561063106,0.002086111111111677,0.028494874023388128,0.0025609734223497327,12,1.00009922380673,86618.35037190454,1.0002638805786481,25688.483505077602,1.0016705432224002,10459.10362854623,1599.96375,3.998842955861535,4.000147585331886,0.002265625000006821,0.028926103461623942,0.0036896332971547707,1.0001536202913817,83718.25190914201,1.000751761624764,25560.782727561775,1.0017833512611436,9849.747932480235,3
